Detailed Statistics Departures  
Origin Airport: Pittsburgh, PA: Pittsburgh International (PIT)
Airline: Spirit Airlines (NK)
Month(s): October, November, and December
Day(s): 1, 2, 3, 4, 5, 6 and 7
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time
"NK","10/01/2023","0248","N920NK","FLL","21:43","22:53"
"NK","10/01/2023","0333","N966NK","LAS","07:34","07:54"
"NK","10/01/2023","0637","N685NK","MCO","17:00","17:05"
"NK","10/01/2023","0653","N939NK","LAX","18:25","18:25"
"NK","10/01/2023","0714","N628NK","EWR","15:37","15:36"
"NK","10/01/2023","1675","N922NK","FLL","06:00","05:52"
"NK","10/01/2023","1691","N607NK","MCO","05:30","05:27"
"NK","10/02/2023","0333","N949NK","LAS","07:34","07:35"
"NK","10/02/2023","0447","N670NK","FLL","17:30","18:09"
"NK","10/02/2023","0637","N665NK","MCO","17:00","17:31"
"NK","10/02/2023","0653","N941NK","LAX","18:25","18:52"
"NK","10/02/2023","0714","N633NK","EWR","15:37","15:32"
"NK","10/02/2023","1675","N952NK","FLL","06:00","05:55"
"NK","10/02/2023","1691","N629NK","MCO","05:30","05:26"
"NK","10/03/2023","0248","N712NK","FLL","21:43","01:40"
"NK","10/03/2023","0333","N969NK","LAS","07:34","07:24"
"NK","10/03/2023","0653","N983NK","LAX","18:25","18:27"
"NK","10/03/2023","0714","N526NK","EWR","13:03","13:04"
"NK","10/03/2023","1675","N963NK","FLL","06:00","05:54"
"NK","10/03/2023","1691","N949NK","MCO","08:30","08:29"
"NK","10/04/2023","0333","N954NK","LAS","07:34","07:30"
"NK","10/04/2023","0447","N931NK","FLL","17:30","17:31"
"NK","10/04/2023","0653","N979NK","LAX","18:25","18:20"
"NK","10/04/2023","0714","N526NK","EWR","13:03","13:01"
"NK","10/04/2023","1675","N942NK","FLL","06:00","06:00"
"NK","10/04/2023","1691","N622NK","MCO","08:30","08:29"
"NK","10/05/2023","0248","N976NK","FLL","21:40","21:35"
"NK","10/05/2023","0333","N961NK","LAS","07:30","07:27"
"NK","10/05/2023","0350","N651NK","LAS","18:08","18:05"
"NK","10/05/2023","0637","N657NK","MCO","17:05","17:06"
"NK","10/05/2023","0653","N949NK","LAX","20:25","20:23"
"NK","10/05/2023","0714","N639NK","EWR","14:35","14:33"
"NK","10/05/2023","1675","N931NK","FLL","05:45","05:41"
"NK","10/05/2023","1691","N631NK","MCO","06:00","05:59"
"NK","10/05/2023","3203","N646NK","MYR","10:55","10:47"
"NK","10/06/2023","0333","N947NK","LAS","07:30","08:00"
"NK","10/06/2023","0350","N642NK","LAS","18:08","18:12"
"NK","10/06/2023","0447","N956NK","FLL","17:32","18:47"
"NK","10/06/2023","0637","N670NK","MCO","17:05","18:06"
"NK","10/06/2023","0653","N978NK","LAX","19:10","19:18"
"NK","10/06/2023","0714","N656NK","EWR","14:35","15:02"
"NK","10/06/2023","1675","N931NK","FLL","05:45","06:18"
"NK","10/06/2023","1691","N651NK","MCO","06:00","05:58"
"NK","10/06/2023","3203","N635NK","MYR","10:55","11:02"
"NK","10/07/2023","0333","N978NK","LAS","07:30","07:28"
"NK","10/07/2023","0350","N910NK","LAS","18:08","18:10"
"NK","10/07/2023","0447","N979NK","FLL","17:30","18:42"
"NK","10/07/2023","0637","N677NK","MCO","17:05","17:39"
"NK","10/07/2023","0653","N934NK","LAX","19:10","19:15"
"NK","10/07/2023","0714","N519NK","EWR","08:50","08:46"
"NK","10/07/2023","1675","N915NK","FLL","05:45","06:42"
"NK","10/07/2023","1691","N642NK","MCO","06:00","06:19"
"NK","10/07/2023","3203","N609NK","MYR","10:55","10:47"
"NK","11/01/2023","0333","N970NK","LAS","07:30","07:28"
"NK","11/01/2023","0350","N633NK","LAS","11:00","10:53"
"NK","11/01/2023","0447","N625NK","FLL","17:30","20:41"
"NK","11/01/2023","0637","N908NK","MCO","21:23","21:18"
"NK","11/01/2023","0653","N620NK","LAX","19:10","20:41"
"NK","11/01/2023","0714","N522NK","EWR","09:49","09:43"
"NK","11/01/2023","1675","N938NK","FLL","05:45","05:56"
"NK","11/01/2023","1691","N693NK","MCO","06:00","06:02"
"NK","11/01/2023","3203","N616NK","MYR","15:24","15:14"
"NK","11/02/2023","0248","N523NK","FLL","21:40","21:24"
"NK","11/02/2023","0333","N929NK","LAS","07:30","07:27"
"NK","11/02/2023","0350","N982NK","LAS","18:08","19:34"
"NK","11/02/2023","0637","N515NK","MCO","17:05","17:13"
"NK","11/02/2023","0653","N649NK","LAX","20:25","20:22"
"NK","11/02/2023","0714","N628NK","EWR","14:35","14:31"
"NK","11/02/2023","1675","N976NK","FLL","05:45","05:43"
"NK","11/02/2023","1691","N633NK","MCO","06:00","06:01"
"NK","11/02/2023","3203","N603NK","MYR","10:55","10:49"
"NK","11/03/2023","0333","N967NK","LAS","07:30","07:33"
"NK","11/03/2023","0350","N631NK","LAS","18:08","18:08"
"NK","11/03/2023","0447","N942NK","FLL","17:32","18:33"
"NK","11/03/2023","0637","N712NK","MCO","17:05","17:04"
"NK","11/03/2023","0653","N934NK","LAX","19:10","19:10"
"NK","11/03/2023","0714","N650NK","EWR","14:35","14:32"
"NK","11/03/2023","1675","N945NK","FLL","05:45","06:06"
"NK","11/03/2023","1691","N982NK","MCO","06:00","05:59"
"NK","11/03/2023","3203","N651NK","MYR","10:55","10:44"
"NK","11/04/2023","0333","N934NK","LAS","07:30","07:25"
"NK","11/04/2023","0350","N640NK","LAS","18:08","18:04"
"NK","11/04/2023","0447","N915NK","FLL","17:30","17:32"
"NK","11/04/2023","0637","N708NK","MCO","17:05","17:17"
"NK","11/04/2023","0653","N961NK","LAX","19:10","19:05"
"NK","11/04/2023","0714","N516NK","EWR","08:50","08:45"
"NK","11/04/2023","1675","N981NK","FLL","05:45","05:43"
"NK","11/04/2023","1691","N631NK","MCO","06:00","06:08"
"NK","11/04/2023","3203","N642NK","MYR","10:55","10:48"
"NK","11/05/2023","0248","N947NK","FLL","21:40","21:46"
"NK","11/05/2023","0333","N961NK","LAS","07:30","07:26"
"NK","11/05/2023","0350","N601NK","LAS","18:08","18:02"
"NK","11/05/2023","0637","N686NK","MCO","17:00","17:00"
"NK","11/05/2023","0653","N958NK","LAX","20:25","20:15"
"NK","11/05/2023","0714","N633NK","EWR","14:35","14:28"
"NK","11/05/2023","1675","N939NK","FLL","05:45","05:41"
"NK","11/05/2023","1691","N627NK","MCO","06:00","06:00"
"NK","11/05/2023","3203","N982NK","MYR","10:55","10:44"
"NK","11/06/2023","0333","N955NK","LAS","07:30","07:25"
"NK","11/06/2023","0350","N655NK","LAS","18:08","18:07"
"NK","11/06/2023","0447","N954NK","FLL","17:48","18:31"
"NK","11/06/2023","0637","N684NK","MCO","17:05","17:03"
"NK","11/06/2023","0653","N947NK","LAX","19:10","19:08"
"NK","11/06/2023","0714","N626NK","EWR","14:35","14:33"
"NK","11/06/2023","1675","N946NK","FLL","05:45","05:44"
"NK","11/06/2023","1691","N639NK","MCO","06:00","06:05"
"NK","11/06/2023","3203","N695NK","MYR","10:55","10:48"
"NK","11/07/2023","0248","N912NK","FLL","21:40","21:38"
"NK","11/07/2023","0333","N947NK","LAS","07:30","07:20"
"NK","11/07/2023","0350","N623NK","LAS","21:55","21:47"
"NK","11/07/2023","0637","N685NK","MCO","17:05","16:58"
"NK","11/07/2023","0653","N967NK","LAX","19:10","19:05"
"NK","11/07/2023","0714","N526NK","EWR","09:49","09:44"
"NK","11/07/2023","1675","N931NK","FLL","05:45","06:17"
"NK","11/07/2023","1691","N624NK","MCO","06:00","05:58"
"NK","11/07/2023","3203","N694NK","MYR","10:55","10:46"
"NK","12/01/2023","0333","N927NK","LAS","07:35","07:23"
"NK","12/01/2023","0350","N646NK","LAS","19:00","18:59"
"NK","12/01/2023","0447","N945NK","FLL","11:32","11:28"
"NK","12/01/2023","0637","N672NK","MCO","17:00","17:10"
"NK","12/01/2023","0653","N950NK","LAX","19:05","18:59"
"NK","12/01/2023","0714","N621NK","EWR","14:30","14:26"
"NK","12/01/2023","1619","N629NK","MCO","11:48","11:43"
"NK","12/01/2023","1675","N949NK","FLL","05:47","05:42"
"NK","12/01/2023","1691","N617NK","MCO","06:00","05:53"
"NK","12/01/2023","1744","N631NK","RSW","19:53","20:05"
"NK","12/01/2023","2371","N636NK","TPA","09:29","09:23"
"NK","12/01/2023","2375","N616NK","MIA","20:44","20:37"
"NK","12/02/2023","0333","N985NK","LAS","07:35","07:35"
"NK","12/02/2023","0350","N619NK","LAS","19:00","19:31"
"NK","12/02/2023","0447","N604NK","FLL","15:50","15:46"
